Content,Date
Je me suis rendue à Carita pour la première fois aujourd'hui pour une coupe sur cheveux mi-long. J'en ressort plus que ravie ! Benjamin qui s'est occupé de moi est un Mozart de la coiffure. Je n'ai rien à redire ! Les deux personnes à l'accueil étaient extrêmement sympathiques. Un super moment !,2023-01-07
"J'y suis allé pour l'exposition gratuite dont j'avais entendu parler via les réseaux sociaux. Beaucoup d'attente (environ 40 minutes) pour 2 minutes de ¨visite¨, peu d'explication, étage pas accessible.. bref si c'est pour l'exposition, passez votre chemin car ça ne vaut pas le déplacement.",2023-01-02
"Excessivement cher pour rien . Et surtout , un brushing raide sur  cheveux souples , c est vite fait bien fait et on ne vous demande pas si vous auriez aimé autre chose que ce que vous vous faites deja vous même à la maison .Couleur et balayage correct .Coupe : classiqueService: Hairstyling",2023-01-04
"J'y suis allé pour l'exposition gratuite dont j'avais entendu parler via les réseaux sociaux. Beaucoup d'attente (environ 40 minutes) pour 2 minutes de ¨visite¨, peu d'explication, étage pas accessible.. bref si c'est pour l'exposition, passez votre chemin car ça ne vaut pas le déplacement.",2023-01-06
"Excessivement cher pour rien . Et surtout , un brushing raide sur  cheveux souples , c est vite fait bien fait et on ne vous demande pas si vous auriez aimé autre chose que ce que vous vous faites deja vous même à la maison .Couleur et balayage correct .Coupe : classiqueService: Hairstyling",2023-01-07
"J'y suis allé pour l'exposition gratuite dont j'avais entendu parler via les réseaux sociaux. Beaucoup d'attente (environ 40 minutes) pour 2 minutes de ¨visite¨, peu d'explication, étage pas accessible.. bref si c'est pour l'exposition, passez votre chemin car ça ne vaut pas le déplacement.",2023-01-07
Expo Lanvin chez Carita. Nous n aurions jamais oser entrer dans cet endroit sans cette expo. Merci pour cette belle découverte du salon de beauté au restaurant dans un beau design et avec une belle scénographie pour les robes et les explications de vos conseillères. Bonne continuation,2023-01-03
Expo Lanvin chez Carita. Nous n aurions jamais oser entrer dans cet endroit sans cette expo. Merci pour cette belle découverte du salon de beauté au restaurant dans un beau design et avec une belle scénographie pour les robes et les explications de vos conseillères. Bonne continuation,2023-01-06
"Institut de beauté, d'un blanc immaculé, avec- un service digne d'un hôtel 4☆- des massages corps pour femme agréables- massage shiatsu pour homme très réussi- de nombreux autres services dont coiffure- atmosphère propice à l'introspection- tarifs (très) élevésHIGHLY RECOMMENDED ✨️",2023-01-04
"Institut de beauté, d'un blanc immaculé, avec- un service digne d'un hôtel 4☆- des massages corps pour femme agréables- massage shiatsu pour homme très réussi- de nombreux autres services dont coiffure- atmosphère propice à l'introspection- tarifs (très) élevésHIGHLY RECOMMENDED ✨️",2023-01-07
Un lieu iconique . Majestueux. Et si apaisant .On peut être conseillé en toute simplicité pour nos cheveux et nos soins du visage .Passer un moment agréable à la partie restauration.  Ou salon de thé ☕️...Le luxe est bien là   . Et nous comble.A visiter sans attendre.,2023-01-03
Un lieu iconique . Majestueux. Et si apaisant .On peut être conseillé en toute simplicité pour nos cheveux et nos soins du visage .Passer un moment agréable à la partie restauration.  Ou salon de thé ☕️...Le luxe est bien là   . Et nous comble.A visiter sans attendre.,2023-01-06
"Un moment d’exception des personnes professionnelles, d’une gentillesse et d’une attention unique, qui n’ont pas peur lorsqu’on leur dis vouloir changer de tête, faite ce que vous voulez...Vous rende d’autant plus belle et féminine... Je le recommande vivement",2023-01-05
"Un moment d’exception des personnes professionnelles, d’une gentillesse et d’une attention unique, qui n’ont pas peur lorsqu’on leur dis vouloir changer de tête, faite ce que vous voulez...Vous rende d’autant plus belle et féminine... Je le recommande vivement",2023-01-07
"Maison de beauté très agréable, accueil superbe. LE coiffeur de Paris ! Hyper contente de ma couleur. Ombré très réussi. Sylvain m'a très bien accueillie, écoutée, et est un très bon coloriste parfait qui a très bien compris ce que je désirais.",2023-01-05
"Maison de beauté très agréable, accueil superbe. LE coiffeur de Paris ! Hyper contente de ma couleur. Ombré très réussi. Sylvain m'a très bien accueillie, écoutée, et est un très bon coloriste parfait qui a très bien compris ce que je désirais.",2023-01-07
Je ne peux pas vous aider car je suis un homme et je suis passé pour une livraison c'est toujours rempli de des clients j'ai remarqué qu'ils sont très sympa et très compétent dans leur métier je vous conseille de venir par vous-même sur place,2023-01-03
Je ne peux pas vous aider car je suis un homme et je suis passé pour une livraison c'est toujours rempli de des clients j'ai remarqué qu'ils sont très sympa et très compétent dans leur métier je vous conseille de venir par vous-même sur place,2023-01-06
Je ne peux pas vous aider car je suis un homme et je suis passé pour une livraison c'est toujours rempli de des clients j'ai remarqué qu'ils sont très sympa et très compétent dans leur métier je vous conseille de venir par vous-même sur place,2023-01-08
"Rdv un lundi matin, le salon uniquement pour moi.je suis ressortie apaisée et ravie de ma nouvelle tête que j ai laissé entre les mains de b. Sans aucune hésitation.merci beaucoup et vivement l ouverture du futur centre carita à quelques pas",2023-01-05
"Rdv un lundi matin, le salon uniquement pour moi.je suis ressortie apaisée et ravie de ma nouvelle tête que j ai laissé entre les mains de b. Sans aucune hésitation.merci beaucoup et vivement l ouverture du futur centre carita à quelques pas",2023-01-07
"Un grand Bravo à Sébastien pour son travail exceptionnel sur les cheveux longs de ma belle-fille, une décoloration pour réaliser un blond polaire sublime et lumineux, le résultat est magnifique, elle en est très heureuse, 1000 Mercis.",2023-01-04
"Carita , fidèle à son professionalisme au niveau des soins et de celles qui les prodiguent...un acueil chaleureux et des règles sanitaires remarquablement bien respectées mais avec beaucoup de tact et de finesse ...un grand moment ...",2023-01-05
"Un grand Bravo à Sébastien pour son travail exceptionnel sur les cheveux longs de ma belle-fille, une décoloration pour réaliser un blond polaire sublime et lumineux, le résultat est magnifique, elle en est très heureuse, 1000 Mercis.",2023-01-07
"Carita , fidèle à son professionalisme au niveau des soins et de celles qui les prodiguent...un acueil chaleureux et des règles sanitaires remarquablement bien respectées mais avec beaucoup de tact et de finesse ...un grand moment ...",2023-01-07
"Very good House which continues to promote the services and products in the aesthetic field of the CARITA brand, as well as those of the L'OREAL brand in the field of hairdressing.Professional advice guaranteed, don't hesitate.",2023-01-05
"Very good House which continues to promote the services and products in the aesthetic field of the CARITA brand, as well as those of the L'OREAL brand in the field of hairdressing.Professional advice guaranteed, don't hesitate.",2023-01-07
Hands down - The BEST haircut of my life. (No exaggeration) The staff is welcoming and professional. You must visit this place at-least once in your life. Love it and will be returning again next time I’m in Paris.,2023-01-03
Hands down - The BEST haircut of my life. (No exaggeration) The staff is welcoming and professional. You must visit this place at-least once in your life. Love it and will be returning again next time I’m in Paris.,2023-01-06
This place is really beautiful.I am satisfied with the massage as well as the atmosphere. Thanks also to the very smiling girl at the reception for this exclusive visit! I recommend congratulationsService: Massage,2023-01-01
L’exposition des robes Lanvin est magnifique et l’intérieur de l’établissement est vraiment sublime ! C’est assez impressionnant et le personnel est vraiment accueillant et sympathique (particulièrement Roukia ! ),2023-01-03
This place is really beautiful.I am satisfied with the massage as well as the atmosphere. Thanks also to the very smiling girl at the reception for this exclusive visit! I recommend congratulationsService: Massage,2023-01-05
L’exposition des robes Lanvin est magnifique et l’intérieur de l’établissement est vraiment sublime ! C’est assez impressionnant et le personnel est vraiment accueillant et sympathique (particulièrement Roukia ! ),2023-01-06
This place is really beautiful.I am satisfied with the massage as well as the atmosphere. Thanks also to the very smiling girl at the reception for this exclusive visit! I recommend congratulationsService: Massage,2023-01-07
L’exposition des robes Lanvin est magnifique et l’intérieur de l’établissement est vraiment sublime ! C’est assez impressionnant et le personnel est vraiment accueillant et sympathique (particulièrement Roukia ! ),2023-01-08
"Côté ""nostalgie"" .... ma grand mère y travaillait. Elle m y amenait tout gamin . J y ai connu Rosie et sa sœur ainsi que Christophe et bien d'autres. Heureux que cette grande maison du luxe retrouve le faubourg.",2023-01-03
"Côté ""nostalgie"" .... ma grand mère y travaillait. Elle m y amenait tout gamin . J y ai connu Rosie et sa sœur ainsi que Christophe et bien d'autres. Heureux que cette grande maison du luxe retrouve le faubourg.",2023-01-06
"Première fois chez carita vendredi dernier, incroyable accueil plus que chaleureux par l'équipe, et un grand bravo à Cassandre qui a réussi à merveille mon ombre hair, très satisfaite je recommande vivement",2023-01-04
"Première fois chez carita vendredi dernier, incroyable accueil plus que chaleureux par l'équipe, et un grand bravo à Cassandre qui a réussi à merveille mon ombre hair, très satisfaite je recommande vivement",2023-01-06
"Centre estetico molto lussuoso nel centro di Parigi, situato nella via del lusso, dove sono presenti tutti i marchi alto di gamma. Personale molto bravo e competente, posto ideale per farsi coccolare",2023-01-05
"Centre estetico molto lussuoso nel centro di Parigi, situato nella via del lusso, dove sono presenti tutti i marchi alto di gamma. Personale molto bravo e competente, posto ideale per farsi coccolare",2023-01-07
Deuxième visite à la Maison de beauté Carita et que du bonheur. Le service coiffure est juste parfait . Pour la deuxième fois en sortant je me fais accoster par un inconnu qui me trouve rayonnante.,2023-01-02
"Je suis venu récemment pour un renseignement car je souhaitais faire un cadeau à ma femme, j'ai eu droit à une visite privée des lieux. Je remercie Roukia pour tous ses conseils. Nous reviendrons !",2023-01-03
Deuxième visite à la Maison de beauté Carita et que du bonheur. Le service coiffure est juste parfait . Pour la deuxième fois en sortant je me fais accoster par un inconnu qui me trouve rayonnante.,2023-01-06
"Je suis venu récemment pour un renseignement car je souhaitais faire un cadeau à ma femme, j'ai eu droit à une visite privée des lieux. Je remercie Roukia pour tous ses conseils. Nous reviendrons !",2023-01-06
Deuxième visite à la Maison de beauté Carita et que du bonheur. Le service coiffure est juste parfait . Pour la deuxième fois en sortant je me fais accoster par un inconnu qui me trouve rayonnante.,2023-01-07
"Je suis venu récemment pour un renseignement car je souhaitais faire un cadeau à ma femme, j'ai eu droit à une visite privée des lieux. Je remercie Roukia pour tous ses conseils. Nous reviendrons !",2023-01-08
